generation,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,avg
0,0.0,0.0,0.07573839171756591,0.0,0.0,0.07755354556096838,0.0,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.0,0.09704231014478026,0.0,0.07111542153364547,0.039584335853092074
1,0.0,0.0,0.07573839171756591,0.03611274504763784,0.11006937700331865,0.07755354556096838,0.0,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.07031659570244042,0.09704231014478026,0.0,0.07111542153364547,0.054017583703318536
2,0.0,0.0,0.07573839171756591,0.03611274504763784,0.11006937700331865,0.07755354556096838,0.0,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.07031659570244042,0.09704231014478026,0.04522732563682441,0.08394197014278493,0.05788784198638279
3,0.05459693316409686,0.0,0.07573839171756591,0.03611274504763784,0.11006937700331865,0.09799861737400961,0.0,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.07031659570244042,0.09704231014478026,0.04522732563682441,0.08394197014278493,0.062890642318192
4,0.05459693316409686,0.0,0.07573839171756591,0.040584060839688685,0.11006937700331865,0.09799861737400961,0.0,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08394197014278493,0.06962498977341128
5,0.05459693316409686,0.0,0.07573839171756591,0.040584060839688685,0.11006937700331865,0.09799861737400961,0.06892580619987054,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08394197014278493,0.0742200435200693
6,0.06209285437752776,0.0,0.07573839171756591,0.040584060839688685,0.11006937700331865,0.09799861737400961,0.06892580619987054,0.0650023158477252,0.08818143301977177,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08522378687609933,0.07480522604985233
7,0.06655846558197642,0.12758931863772116,0.07573839171756591,0.043337876266575814,0.11006937700331865,0.1243122448355376,0.08611713308543012,0.06924608744257021,0.10659411831804022,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08522378687609933,0.08820323648380288
8,0.07372716454740535,0.12758931863772116,0.10712549599292287,0.06271017905930254,0.11006937700331865,0.1243122448355376,0.08611713308543012,0.12966664529478578,0.1256747098617632,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08522378687609933,0.09736518684576628
9,0.07541717867253817,0.12758931863772116,0.10712549599292287,0.06271017905930254,0.11006937700331865,0.1243122448355376,0.08611713308543012,0.12966664529478578,0.1256747098617632,0.054924777877134345,0.06420684209478977,0.08900644247242151,0.10322949535927739,0.11689418968858456,0.08522378687609933,0.09747785445410848
10,0.07541717867253817,0.12758931863772116,0.10712549599292287,0.06271017905930254,0.11006937700331865,0.1243122448355376,0.08611713308543012,0.12966664529478578,0.1256747098617632,0.054924777877134345,0.06420684209478977,0.09830455590973275,0.10322949535927739,0.11689418968858456,0.08522378687609933,0.09809772868326257
